vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.9,312.0,18.8,53.0,997.1,-1.0,-1.0,-1.0,-1.0,X8,2010-09-08 04:30:00,79,41.37919,2.1054
3.7,341.0,1.4,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,ZB,2010-09-08 04:30:00,2451,42.51939,1.36597
-1.0,-1.0,1.6,100.0,-1.0,-1.0,-1.0,4.0,255.0,Z1,2010-09-08 04:30:00,2266,42.64691,0.98486
-1.0,-1.0,1.1,98.0,-1.0,-1.0,-1.0,1.5,306.0,Z2,2010-09-08 04:30:00,2535,42.46602,0.88405
-1.0,-1.0,3.5,93.0,-1.0,-1.0,-1.0,0.1,284.0,Z3,2010-09-08 04:30:00,2230,42.46605,1.7785
-1.0,-1.0,3.4,94.0,-1.0,-1.0,-1.0,1.0,192.0,Z4,2010-09-08 04:30:00,2364,42.42205,2.2524
-1.0,-1.0,0.9,95.0,-1.0,-1.0,-1.0,2.5,8.0,Z5,2010-09-08 04:30:00,2400,42.70029,1.27201
-1.0,-1.0,0.7,98.0,-1.0,-1.0,-1.0,0.6,333.0,Z6,2010-09-08 04:30:00,2228,42.77011,0.73198
3.1,261.0,0.7,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,Z7,2010-09-08 04:30:00,2519,42.53412,1.05476
-1.0,-1.0,3.9,84.0,-1.0,-1.0,-1.0,3.5,278.0,Z8,2010-09-08 04:30:00,2316,42.18254,1.52407
0.5,120.0,4.1,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,Z9,2010-09-08 04:30:00,2143,42.29265,1.71498
6.0,238.0,10.9,86.0,929.0,-1.0,-1.0,-1.0,-1.0,CA,2010-09-08 05:00:00,693,41.95378,1.5851
0.1,303.0,10.0,96.0,936.1,-1.0,-1.0,-1.0,-1.0,CC,2010-09-08 05:00:00,626,42.07398,2.20862
0.7,44.0,12.5,69.0,911.4,-1.0,-1.0,-1.0,-1.0,CD,2010-09-08 05:00:00,849,42.37083,1.43277
3.4,315.0,15.3,63.0,970.8,-1.0,-1.0,-1.0,-1.0,CE,2010-09-08 05:00:00,316,41.53109,1.80813
1.2,235.0,9.0,94.0,852.8,-1.0,-1.0,-1.0,-1.0,CG,2010-09-08 05:00:00,1405,42.37717,2.41456
0.8,238.0,10.3,98.0,911.1,-1.0,-1.0,-1.0,-1.0,CI,2010-09-08 05:00:00,852,42.25839,2.36429
0.7,302.0,12.1,76.0,942.5,-1.0,-1.0,-1.0,-1.0,CJ,2010-09-08 05:00:00,566.5,42.21624,1.33132
1.3,203.0,13.4,71.0,967.3,-1.0,-1.0,-1.0,-1.0,CL,2010-09-08 05:00:00,349,41.67399,1.76796
1.6,27.0,13.1,71.0,929.6,-1.0,-1.0,-1.0,-1.0,CP,2010-09-08 05:00:00,690,42.13924,1.03893
0.8,296.0,12.6,70.0,940.0,-1.0,-1.0,-1.0,-1.0,CQ,2010-09-08 05:00:00,594,41.99546,1.02569
0.3,346.0,9.4,98.0,909.7,-1.0,-1.0,-1.0,-1.0,CR,2010-09-08 05:00:00,873,42.08032,1.9624
0.4,350.0,8.7,98.0,915.1,-1.0,-1.0,-1.0,-1.0,CT,2010-09-08 05:00:00,823,42.39811,0.74362
0.5,193.0,9.6,91.0,897.1,-1.0,-1.0,-1.0,-1.0,CU,2010-09-08 05:00:00,1002,42.69856,0.79397
0.3,268.0,11.6,87.0,948.9,-1.0,-1.0,-1.0,-1.0,CV,2010-09-08 05:00:00,513.3,42.23939,0.96434
4.8,260.0,14.1,66.0,957.4,-1.0,-1.0,-1.0,-1.0,CW,2010-09-08 05:00:00,446,41.39241,1.09894
2.1,233.0,12.6,72.0,915.6,-1.0,-1.0,-1.0,-1.0,CY,2010-09-08 05:00:00,816,41.87813,2.17873
4.8,230.0,13.7,76.0,978.3,-1.0,-1.0,-1.0,-1.0,C6,2010-09-08 05:00:00,264,41.6566,0.95172
3.1,230.0,13.3,71.0,959.7,-1.0,-1.0,-1.0,-1.0,C7,2010-09-08 05:00:00,427,41.66695,1.16234
6.2,251.0,11.8,75.0,944.3,-1.0,-1.0,-1.0,-1.0,C8,2010-09-08 05:00:00,554,41.67555,1.29609
-1.0,-1.0,18.3,49.0,981.4,-1.0,-1.0,-1.0,-1.0,C9,2010-09-08 05:00:00,240,40.71825,0.39988
6.3,317.0,17.6,52.0,987.9,-1.0,-1.0,-1.0,-1.0,DB,2010-09-08 05:00:00,179,40.87287,0.71581
0.5,230.0,11.8,98.0,958.4,-1.0,-1.0,-1.0,-1.0,DC,2010-09-08 05:00:00,421.5,42.19144,2.48263
1.6,282.0,17.4,72.0,1001.8,-1.0,-1.0,-1.0,-1.0,DD,2010-09-08 05:00:00,44.5,41.51175,2.38674
1.2,180.0,14.0,93.0,1003.7,-1.0,-1.0,-1.0,-1.0,DF,2010-09-08 05:00:00,28.6,41.97751,3.03543
0.8,51.0,4.8,88.0,796.5,-1.0,-1.0,-1.0,-1.0,DG,2010-09-08 05:00:00,1971.4,42.39848,2.15517
4.2,312.0,17.9,42.0,959.7,-1.0,-1.0,-1.0,-1.0,DI,2010-09-08 05:00:00,415,41.43292,1.62386
0.4,328.0,14.6,90.0,986.4,-1.0,-1.0,-1.0,-1.0,DJ,2010-09-08 05:00:00,176,42.11653,2.78969
2.3,336.0,17.4,60.0,1007.7,-1.0,-1.0,-1.0,-1.0,DK,2010-09-08 05:00:00,2,41.14677,1.41846
1.9,293.0,18.3,60.0,1008.8,-1.0,-1.0,-1.0,-1.0,DL,2010-09-08 05:00:00,0.5,40.70719,0.83449
0.1,150.0,14.7,91.0,996.5,-1.0,-1.0,-1.0,-1.0,DM,2010-09-08 05:00:00,90,41.96012,2.80696
0.9,283.0,13.8,96.0,989.6,-1.0,-1.0,-1.0,-1.0,DN,2010-09-08 05:00:00,150,41.96095,2.63108
1.4,278.0,14.4,94.0,1005.3,-1.0,-1.0,-1.0,-1.0,DO,2010-09-08 05:00:00,14,41.80857,3.03241
1.4,45.0,10.5,70.0,884.6,-1.0,-1.0,-1.0,-1.0,DP,2010-09-08 05:00:00,1097,42.38605,1.8664
4.1,18.0,15.1,62.0,975.6,-1.0,-1.0,-1.0,-1.0,DQ,2010-09-08 05:00:00,287,41.30728,1.36259
-1.0,-1.0,12.8,81.0,963.5,-1.0,-1.0,-1.0,-1.0,D1,2010-09-08 05:00:00,404,41.28521,0.75383
-1.0,-1.0,13.3,85.0,968.1,-1.0,-1.0,-1.0,-1.0,D2,2010-09-08 05:00:00,343,41.59252,1.915
1.6,301.0,18.8,46.0,978.0,-1.0,-1.0,-1.0,-1.0,D3,2010-09-08 05:00:00,252,41.38197,1.93564
1.6,335.0,18.8,52.0,1003.7,-1.0,-1.0,-1.0,-1.0,D4,2010-09-08 05:00:00,24,42.27065,3.18165
5.6,304.0,16.8,54.0,960.3,-1.0,-1.0,-1.0,-1.0,D5,2010-09-08 05:00:00,411.2,41.41843,2.12388
13.4,357.0,17.3,51.0,983.3,-1.0,-1.0,-1.0,-1.0,D6,2010-09-08 05:00:00,196,42.43515,3.16622
0.9,314.0,16.8,64.0,1004.0,-1.0,-1.0,-1.0,-1.0,D7,2010-09-08 05:00:00,53,41.18499,0.59376
3.3,253.0,14.0,64.0,951.3,-1.0,-1.0,-1.0,-1.0,D8,2010-09-08 05:00:00,515,40.95134,0.30565
5.9,299.0,19.0,46.0,1000.9,-1.0,-1.0,-1.0,-1.0,D9,2010-09-08 05:00:00,59,41.21553,1.52121
8.2,280.0,14.7,68.0,969.2,-1.0,-1.0,-1.0,-1.0,H1,2010-09-08 05:00:00,333,41.58642,1.65306
1.0,16.0,12.8,92.0,983.3,-1.0,-1.0,-1.0,-1.0,R1,2010-09-08 05:00:00,210,41.70637,1.87276
-1.0,-1.0,17.5,59.0,-1.0,1.2,326.0,-1.0,-1.0,UA,2010-09-08 05:00:00,93,40.9091,0.76943
-1.0,-1.0,13.9,93.0,-1.0,0.4,307.0,-1.0,-1.0,UB,2010-09-08 05:00:00,15,42.05398,3.06195
-1.0,-1.0,13.2,94.0,-1.0,0.7,222.0,-1.0,-1.0,UC,2010-09-08 05:00:00,60,41.97726,2.99705
-1.0,-1.0,13.5,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,UD,2010-09-08 05:00:00,12,42.02895,3.06227
-1.0,-1.0,14.6,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2010-09-08 05:00:00,4,42.02306,3.15719
-1.0,-1.0,15.3,50.0,-1.0,3.5,296.0,-1.0,-1.0,UF,2010-09-08 05:00:00,573,41.28832,1.90775
-1.0,-1.0,19.4,58.0,-1.0,1.3,354.0,-1.0,-1.0,UG,2010-09-08 05:00:00,3,41.29928,2.03787
-1.0,-1.0,14.3,62.0,-1.0,2.0,296.0,4.1,302.0,UH,2010-09-08 05:00:00,545,41.34171,1.48769
-1.0,-1.0,7.7,85.0,-1.0,0.4,258.0,-1.0,-1.0,UI,2010-09-08 05:00:00,1386,42.26477,1.76218
-1.0,-1.0,11.5,75.0,-1.0,2.3,272.0,4.1,273.0,UJ,2010-09-08 05:00:00,709,41.52879,1.3683
-1.0,-1.0,17.4,51.0,-1.0,0.2,24.0,-1.0,-1.0,UK,2010-09-08 05:00:00,161,41.27861,1.80479
-1.0,-1.0,14.7,68.0,-1.0,2.3,224.0,-1.0,-1.0,UL,2010-09-08 05:00:00,228,41.52911,0.75303
-1.0,-1.0,13.0,72.0,-1.0,2.5,221.0,-1.0,-1.0,UM,2010-09-08 05:00:00,505,41.35991,0.66789
-1.0,-1.0,12.2,95.0,-1.0,0.2,96.0,-1.0,-1.0,UN,2010-09-08 05:00:00,171,41.87449,2.92694
-1.0,-1.0,12.8,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2010-09-08 05:00:00,97,41.91461,2.82069
1.9,326.0,16.9,73.0,998.0,-1.0,-1.0,-1.0,-1.0,UP,2010-09-08 05:00:00,81,41.51773,2.37702
-1.0,-1.0,16.2,85.0,-1.0,0.7,165.0,-1.0,-1.0,UQ,2010-09-08 05:00:00,460,41.61991,2.44532
-1.0,-1.0,15.6,68.0,-1.0,0.8,300.0,-1.0,-1.0,US,2010-09-08 05:00:00,24,40.55786,0.52329
4.7,325.0,19.2,50.0,1009.0,-1.0,-1.0,-1.0,-1.0,UU,2010-09-08 05:00:00,3,40.70776,0.6321
-1.0,-1.0,17.4,52.0,-1.0,0.8,254.0,-1.0,-1.0,UV,2010-09-08 05:00:00,205,40.71727,0.41633
-1.0,-1.0,17.8,59.0,1010.0,1.6,342.0,-1.0,-1.0,UW,2010-09-08 05:00:00,0,40.62725,0.65922
-1.0,-1.0,17.4,50.0,-1.0,0.7,273.0,-1.0,-1.0,UX,2010-09-08 05:00:00,210,40.62652,0.37112
-1.0,-1.0,12.3,70.0,-1.0,0.7,279.0,1.7,289.0,UY,2010-09-08 05:00:00,576,41.87912,0.76103
-1.0,-1.0,18.0,59.0,-1.0,1.5,277.0,-1.0,-1.0,U1,2010-09-08 05:00:00,31,42.30648,2.95481
1.8,261.0,15.3,91.0,1007.0,-1.0,-1.0,-1.0,-1.0,U2,2010-09-08 05:00:00,4,42.17716,3.0968
-1.0,-1.0,16.6,52.0,-1.0,1.1,276.0,-1.0,-1.0,U3,2010-09-08 05:00:00,257,41.37491,1.63032
2.5,283.0,13.4,74.0,-1.0,1.5,282.0,-1.0,-1.0,U4,2010-09-08 05:00:00,507,41.83094,1.84699
-1.0,-1.0,9.5,78.0,-1.0,1.3,219.0,-1.0,-1.0,U5,2010-09-08 05:00:00,969,41.31349,0.99611
-1.0,-1.0,17.5,59.0,-1.0,1.0,236.0,-1.0,-1.0,U6,2010-09-08 05:00:00,29,41.08017,1.06661
-1.0,-1.0,18.6,48.0,-1.0,2.2,328.0,-1.0,-1.0,U7,2010-09-08 05:00:00,52,40.85936,0.50525
-1.0,-1.0,17.7,55.0,-1.0,0.7,12.0,-1.0,-1.0,U9,2010-09-08 05:00:00,62,40.76947,0.61635
-1.0,-1.0,15.7,63.0,-1.0,2.8,261.0,-1.0,-1.0,VA,2010-09-08 05:00:00,257,41.19645,0.51161
8.8,283.0,18.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,VB,2010-09-08 05:00:00,32,41.06289,0.63517
-1.0,-1.0,18.1,60.0,-1.0,2.7,252.0,-1.0,-1.0,VC,2010-09-08 05:00:00,69,41.24415,0.43266
-1.0,-1.0,13.0,70.0,-1.0,5.2,234.0,-1.0,-1.0,VD,2010-09-08 05:00:00,429,41.68939,1.20381
-1.0,-1.0,15.6,69.0,-1.0,1.6,210.0,-1.0,-1.0,VE,2010-09-08 05:00:00,97,41.48692,0.46058
-1.0,-1.0,14.0,78.0,-1.0,0.4,230.0,-1.0,-1.0,VF,2010-09-08 05:00:00,122,41.56482,0.54999
-1.0,-1.0,14.4,69.0,-1.0,1.9,280.0,-1.0,-1.0,VH,2010-09-08 05:00:00,259,41.65814,0.39301
-1.0,-1.0,14.0,71.0,-1.0,1.0,203.0,-1.0,-1.0,VJ,2010-09-08 05:00:00,161,41.59957,0.6478
2.0,246.0,13.3,76.0,976.4,-1.0,-1.0,-1.0,-1.0,VK,2010-09-08 05:00:00,286,41.68328,0.4487
2.3,269.0,16.5,61.0,-1.0,1.1,254.0,-1.0,-1.0,VL,2010-09-08 05:00:00,100,41.46014,0.40562
-1.0,-1.0,13.9,72.0,-1.0,1.7,256.0,-1.0,-1.0,VM,2010-09-08 05:00:00,222,41.7145,0.62839
-1.0,-1.0,13.3,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,VN,2010-09-08 05:00:00,117,41.88244,2.74262
-1.0,-1.0,9.5,88.0,-1.0,0.2,58.0,-1.0,-1.0,VO,2010-09-08 05:00:00,785,42.08745,1.42792
-1.0,-1.0,11.0,84.0,-1.0,2.6,250.0,3.6,262.0,VP,2010-09-08 05:00:00,659,41.80483,1.53853
3.7,215.0,16.2,62.0,995.0,-1.0,-1.0,-1.0,-1.0,VQ,2010-09-08 05:00:00,112,41.1713,1.16774
-1.0,-1.0,13.4,76.0,-1.0,0.9,222.0,-1.0,-1.0,VR,2010-09-08 05:00:00,291,41.68994,1.04401
5.0,37.0,1.5,94.0,771.3,-1.0,-1.0,-1.0,-1.0,VS,2010-09-08 05:00:00,2247,42.63835,0.77889
-1.0,-1.0,16.6,65.0,-1.0,1.0,267.0,-1.0,-1.0,VT,2010-09-08 05:00:00,84,41.48401,2.12745
-1.0,-1.0,13.3,73.0,-1.0,0.5,15.0,-1.0,-1.0,VU,2010-09-08 05:00:00,421,41.63286,1.91718
1.3,12.0,12.9,79.0,-1.0,-1.0,-1.0,-1.0,-1.0,VV,2010-09-08 05:00:00,528,41.68129,2.02647
-1.0,-1.0,11.9,66.0,-1.0,0.3,260.0,-1.0,-1.0,VX,2010-09-08 05:00:00,1030,41.74761,2.30291
-1.0,-1.0,15.7,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,VY,2010-09-08 05:00:00,240,41.25095,1.29863
-1.0,-1.0,19.1,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,VZ,2010-09-08 05:00:00,83,42.38443,3.00736
-1.0,-1.0,13.3,81.0,-1.0,1.3,191.0,-1.0,-1.0,V1,2010-09-08 05:00:00,238,41.78487,0.82939
-1.0,-1.0,12.1,96.0,-1.0,0.5,200.0,-1.0,-1.0,V3,2010-09-08 05:00:00,509,41.95224,2.23271
-1.0,-1.0,9.7,96.0,931.0,-1.0,-1.0,0.4,355.0,V4,2010-09-08 05:00:00,684,42.11477,2.21483
-1.0,-1.0,9.8,98.0,-1.0,0.5,130.0,0.9,135.0,V5,2010-09-08 05:00:00,774,42.03947,2.11993
-1.0,-1.0,13.0,78.0,-1.0,0.7,215.0,-1.0,-1.0,V8,2010-09-08 05:00:00,223,41.67279,0.87741
-1.0,-1.0,12.0,80.0,-1.0,2.4,253.0,-1.0,-1.0,WA,2010-09-08 05:00:00,443,41.87694,1.1541
-1.0,-1.0,12.6,76.0,-1.0,3.2,250.0,-1.0,-1.0,WB,2010-09-08 05:00:00,267,41.76036,0.67022
-1.0,-1.0,14.0,72.0,-1.0,1.3,235.0,-1.0,-1.0,WC,2010-09-08 05:00:00,261,41.63642,0.92446
-1.0,-1.0,14.4,66.0,-1.0,1.3,268.0,-1.0,-1.0,WD,2010-09-08 05:00:00,382,41.08671,0.31884
-1.0,-1.0,12.8,93.0,-1.0,0.6,73.0,-1.0,-1.0,WE,2010-09-08 05:00:00,126,41.5444,2.30014
-1.0,-1.0,13.2,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,WF,2010-09-08 05:00:00,108,41.95425,2.77578
-1.0,-1.0,12.7,76.0,-1.0,2.3,258.0,-1.0,-1.0,WG,2010-09-08 05:00:00,301,41.80104,0.64804
-1.0,-1.0,14.5,67.0,-1.0,1.8,286.0,-1.0,-1.0,WI,2010-09-08 05:00:00,350,41.35741,0.4809
-1.0,-1.0,16.7,60.0,-1.0,5.6,320.0,-1.0,-1.0,WJ,2010-09-08 05:00:00,141,41.1223,0.72182
-1.0,-1.0,11.5,82.0,-1.0,0.4,328.0,-1.0,-1.0,WK,2010-09-08 05:00:00,268,41.81949,0.57768
-1.0,-1.0,13.6,69.0,-1.0,3.4,232.0,-1.0,-1.0,WL,2010-09-08 05:00:00,413,41.57236,1.0882
1.0,64.0,9.8,89.0,-1.0,-1.0,-1.0,-1.0,-1.0,WM,2010-09-08 05:00:00,1167,42.10736,1.8267
-1.0,-1.0,14.4,45.0,-1.0,-1.0,-1.0,3.4,322.0,WN,2010-09-08 05:00:00,916,41.59539,1.83751
-1.0,-1.0,17.4,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,WO,2010-09-08 05:00:00,185,41.27151,1.46717
-1.0,-1.0,14.8,62.0,-1.0,0.9,273.0,-1.0,-1.0,WP,2010-09-08 05:00:00,325,41.48518,1.69337
7.5,346.0,6.0,83.0,836.1,-1.0,-1.0,-1.0,-1.0,WQ,2010-09-08 05:00:00,1572,42.0513,0.72952
-1.0,-1.0,15.4,64.0,-1.0,1.3,254.0,-1.0,-1.0,WR,2010-09-08 05:00:00,300,41.2163,0.79748
0.6,204.0,11.3,80.0,901.0,-1.0,-1.0,-1.0,-1.0,WS,2010-09-08 05:00:00,953,41.84008,2.41877
2.3,358.0,16.0,94.0,1007.0,-1.0,-1.0,-1.0,-1.0,WT,2010-09-08 05:00:00,2,41.64707,2.75658
-1.0,-1.0,20.1,53.0,1002.0,-1.0,-1.0,3.4,287.0,WU,2010-09-08 05:00:00,42,41.45215,2.24757
0.5,216.0,8.3,100.0,919.0,-1.0,-1.0,-1.0,-1.0,WV,2010-09-08 05:00:00,788,42.23414,1.87485
-1.0,-1.0,11.9,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,WW,2010-09-08 05:00:00,278,41.79423,1.9368
-1.0,-1.0,12.2,67.0,-1.0,1.9,249.0,-1.0,-1.0,WX,2010-09-08 05:00:00,668,41.9178,0.88175
-1.0,-1.0,14.8,77.0,-1.0,0.8,293.0,-1.0,-1.0,WY,2010-09-08 05:00:00,164,41.43386,1.79429
4.1,313.0,19.7,47.0,1006.0,-1.0,-1.0,-1.0,-1.0,WZ,2010-09-08 05:00:00,17,41.20187,1.63346
-1.0,-1.0,15.6,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,W1,2010-09-08 05:00:00,2,42.24726,3.09021
-1.0,-1.0,14.4,93.0,-1.0,-1.0,-1.0,-1.0,-1.0,W2,2010-09-08 05:00:00,7,42.18259,3.05783
-1.0,-1.0,15.1,89.0,-1.0,-1.0,-1.0,-1.0,-1.0,W3,2010-09-08 05:00:00,4,42.15006,3.06494
-1.0,-1.0,16.4,56.0,-1.0,1.1,258.0,-1.0,-1.0,W4,2010-09-08 05:00:00,240,41.36619,1.72857
-1.0,-1.0,10.5,80.0,-1.0,0.4,58.0,-1.0,-1.0,W5,2010-09-08 05:00:00,490,42.07683,1.31489
-1.0,-1.0,16.6,62.0,-1.0,1.1,294.0,-1.0,-1.0,W6,2010-09-08 05:00:00,158,41.13738,1.0187
-1.0,-1.0,14.1,66.0,-1.0,-1.0,-1.0,-1.0,-1.0,W8,2010-09-08 05:00:00,438,41.44237,1.15998
-1.0,-1.0,11.0,100.0,-1.0,0.2,202.0,-1.0,-1.0,W9,2010-09-08 05:00:00,461,42.14557,2.45451
5.3,288.0,10.9,77.0,919.8,-1.0,-1.0,-1.0,-1.0,XA,2010-09-08 05:00:00,785,41.60257,1.4007
-1.0,-1.0,13.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,XB,2010-09-08 05:00:00,584,41.4779,1.53529
3.9,331.0,17.2,57.0,990.8,-1.0,-1.0,-1.0,-1.0,XC,2010-09-08 05:00:00,147,41.47892,1.97546
5.9,280.0,12.0,73.0,930.5,-1.0,-1.0,-1.0,-1.0,XD,2010-09-08 05:00:00,687,41.32,0.8857
5.7,278.0,18.7,56.0,1007.7,-1.0,-1.0,-1.0,-1.0,XE,2010-09-08 05:00:00,5,41.10393,1.201
2.2,260.0,15.6,69.0,977.5,-1.0,-1.0,-1.0,-1.0,XF,2010-09-08 05:00:00,258,41.56568,2.06952
1.7,45.0,14.7,86.0,993.6,-1.0,-1.0,-1.0,-1.0,XG,2010-09-08 05:00:00,123,41.56734,2.22619
-1.0,-1.0,10.9,89.0,930.8,-1.0,-1.0,-1.0,-1.0,XH,2010-09-08 05:00:00,679,42.40533,1.12993
-1.0,-1.0,14.4,69.0,981.0,2.0,237.0,-1.0,-1.0,XI,2010-09-08 05:00:00,247,41.61817,0.87182
4.2,305.0,14.6,72.0,968.9,-1.0,-1.0,-1.0,-1.0,X1,2010-09-08 05:00:00,359,41.15374,0.81953
-1.0,-1.0,20.9,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,X2,2010-09-08 05:00:00,7,41.38943,2.18847
4.9,270.0,11.9,83.0,966.0,-1.0,-1.0,-1.0,-1.0,X3,2010-09-08 05:00:00,370,41.74281,0.5358
2.4,326.0,21.0,49.0,1003.3,-1.0,-1.0,-1.0,-1.0,X4,2010-09-08 05:00:00,33,41.3839,2.16775
6.6,270.0,9.1,76.0,893.2,-1.0,-1.0,-1.0,-1.0,X5,2010-09-08 05:00:00,1055,40.79705,0.31822
-1.0,-1.0,12.8,73.0,-1.0,1.2,114.0,-1.0,-1.0,X6,2010-09-08 05:00:00,366,41.92173,1.02901
-1.0,-1.0,14.9,73.0,-1.0,2.6,224.0,-1.0,-1.0,X7,2010-09-08 05:00:00,215,41.51909,0.55314
2.9,325.0,19.0,51.0,997.6,-1.0,-1.0,-1.0,-1.0,X8,2010-09-08 05:00:00,79,41.37919,2.1054
1.3,337.0,13.4,88.0,988.0,-1.0,-1.0,-1.0,-1.0,X9,2010-09-08 05:00:00,176,41.61265,2.16836
3.9,350.0,1.1,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,ZB,2010-09-08 05:00:00,2451,42.51939,1.36597
-1.0,-1.0,1.1,100.0,-1.0,-1.0,-1.0,3.8,252.0,Z1,2010-09-08 05:00:00,2266,42.64691,0.98486
-1.0,-1.0,0.6,99.0,-1.0,-1.0,-1.0,2.8,304.0,Z2,2010-09-08 05:00:00,2535,42.46602,0.88405
-1.0,-1.0,3.7,92.0,-1.0,-1.0,-1.0,0.3,316.0,Z3,2010-09-08 05:00:00,2230,42.46605,1.7785
-1.0,-1.0,3.2,97.0,-1.0,-1.0,-1.0,0.5,30.0,Z4,2010-09-08 05:00:00,2364,42.42205,2.2524
-1.0,-1.0,0.9,95.0,-1.0,-1.0,-1.0,1.8,4.0,Z5,2010-09-08 05:00:00,2400,42.70029,1.27201
-1.0,-1.0,0.8,98.0,-1.0,-1.0,-1.0,0.1,0.0,Z6,2010-09-08 05:00:00,2228,42.77011,0.73198
3.9,262.0,0.6,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,Z7,2010-09-08 05:00:00,2519,42.53412,1.05476
-1.0,-1.0,3.5,90.0,-1.0,-1.0,-1.0,3.1,288.0,Z8,2010-09-08 05:00:00,2316,42.18254,1.52407
0.9,160.0,4.1,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,Z9,2010-09-08 05:00:00,2143,42.29265,1.71498
3.8,242.0,10.6,85.0,929.4,-1.0,-1.0,-1.0,-1.0,CA,2010-09-08 05:30:00,693,41.95378,1.5851
0.2,25.0,9.9,96.0,936.6,-1.0,-1.0,-1.0,-1.0,CC,2010-09-08 05:30:00,626,42.07398,2.20862
0.8,296.0,12.5,70.0,911.9,-1.0,-1.0,-1.0,-1.0,CD,2010-09-08 05:30:00,849,42.37083,1.43277
1.4,302.0,15.0,64.0,971.8,-1.0,-1.0,-1.0,-1.0,CE,2010-09-08 05:30:00,316,41.53109,1.80813
0.7,199.0,9.0,94.0,853.2,-1.0,-1.0,-1.0,-1.0,CG,2010-09-08 05:30:00,1405,42.37717,2.41456
1.4,242.0,10.2,98.0,911.5,-1.0,-1.0,-1.0,-1.0,CI,2010-09-08 05:30:00,852,42.25839,2.36429
0.8,319.0,12.3,76.0,943.1,-1.0,-1.0,-1.0,-1.0,CJ,2010-09-08 05:30:00,566.5,42.21624,1.33132
0.9,307.0,13.2,70.0,967.9,-1.0,-1.0,-1.0,-1.0,CL,2010-09-08 05:30:00,349,41.67399,1.76796
1.8,54.0,13.0,72.0,930.1,-1.0,-1.0,-1.0,-1.0,CP,2010-09-08 05:30:00,690,42.13924,1.03893
0.6,337.0,11.8,74.0,940.7,-1.0,-1.0,-1.0,-1.0,CQ,2010-09-08 05:30:00,594,41.99546,1.02569
0.2,335.0,9.2,98.0,910.2,-1.0,-1.0,-1.0,-1.0,CR,2010-09-08 05:30:00,873,42.08032,1.9624
0.5,12.0,8.4,98.0,915.5,-1.0,-1.0,-1.0,-1.0,CT,2010-09-08 05:30:00,823,42.39811,0.74362
0.4,166.0,9.6,91.0,897.4,-1.0,-1.0,-1.0,-1.0,CU,2010-09-08 05:30:00,1002,42.69856,0.79397
0.5,290.0,11.7,87.0,949.4,-1.0,-1.0,-1.0,-1.0,CV,2010-09-08 05:30:00,513.3,42.23939,0.96434
3.4,284.0,14.0,68.0,958.0,-1.0,-1.0,-1.0,-1.0,CW,2010-09-08 05:30:00,446,41.39241,1.09894
2.5,248.0,11.9,75.0,916.1,-1.0,-1.0,-1.0,-1.0,CY,2010-09-08 05:30:00,816,41.87813,2.17873
